name,immi,mig,clado_loc,ana_loc,ext_loc,clado_glo,ana_glo,ext_glo,1_isl_K(CS),n_isl,archi_age,mainland_sp,replicates
immi&ana_g&K_inf,0.001,0,0,0,0,0,0.1,0,1000000000,2,10,1000,1000
high_immi&ana_g&K_inf,0.01,0,0,0,0,0,0.1,0,1000000000,2,10,1000,1000
veryhigh_immi&ana_g&K_inf,0.1,0,0,0,0,0,0.1,0,1000000000,2,10,1000,1000
immi&mig&ana_g&K_inf,0.001,0.1,0,0,0,0,0.1,0,1000000000,2,10,1000,1000
immi&mig&high_ana_g&K_inf,0.001,0.1,0,0,0,0,1,0,1000000000,2,10,1000,1000
immi&mig&veryhigh_ana_g&K_inf,0.001,0.1,0,0,0,0,10,0,1000000000,2,10,1000,1000
immi&high_mig&ana_g&K_inf,0.001,1,0,0,0,0,0.1,0,1000000000,2,10,1000,1000
immi&high_mig&high_ana_g&K_inf,0.001,1,0,0,0,0,1,0,1000000000,2,10,1000,1000
immi&mig&clado_g&K_inf,0.001,0.1,0,0,0,0.2,0,0,1000000000,2,10,1000,1000
immi&mig&higher_clado_g&K_inf,0.001,0.1,0,0,0,0.6,0,0,1000000000,2,10,1000,1000
immi&mig&high_clado_g&K_inf,0.001,0.1,0,0,0,2,0,0,1000000000,2,10,1000,1000
immi&high_mig&clado_g&K_inf,0.001,1,0,0,0,0.2,0,0,1000000000,2,10,1000,1000
immi&high_mig&high_clado_g&K_inf,0.001,1,0,0,0,2,0,0,1000000000,2,10,1000,1000
immi&mig&ext_g&K_inf,0.001,0.1,0,0,0,0,0,0.1,1000000000,2,10,1000,1000
immi&mig&higher_ext_g&K_inf,0.001,0.1,0,0,0,0,0,0.3,1000000000,2,10,1000,1000
immi&mig&high_ext_g&K_inf,0.001,0.1,0,0,0,0,0,1,1000000000,2,10,1000,1000
immi&high_mig&ext_g&K_inf,0.001,1,0,0,0,0,0,0.1,1000000000,2,10,1000,1000
immi&high_mig&high_ext_g&K_inf,0.001,1,0,0,0,0,0,1,1000000000,2,10,1000,1000
many_isl&immi&ana_g&K_inf,0.001,0,0,0,0,0,0.1,0,1000000000,5,10,1000,1000
many_isl&high_immi&ana_g&K_inf,0.01,0,0,0,0,0,0.1,0,1000000000,5,10,1000,1000
many_isl&veryhigh_immi&ana_g&K_inf,0.1,0,0,0,0,0,0.1,0,1000000000,5,10,1000,1000
many_isl&immi&mig&ana_g&K_inf,0.001,0.1,0,0,0,0,0.1,0,1000000000,5,10,1000,1000
many_isl&immi&mig&high_ana_g&K_inf,0.001,0.1,0,0,0,0,1,0,1000000000,5,10,1000,1000
many_isl&immi&mig&veryhigh_ana_g&K_inf,0.001,0.1,0,0,0,0,10,0,1000000000,5,10,1000,1000
many_isl&immi&high_mig&ana_g&K_inf,0.001,1,0,0,0,0,0.1,0,1000000000,5,10,1000,1000
many_isl&immi&high_mig&high_ana_g&K_inf,0.001,1,0,0,0,0,1,0,1000000000,5,10,1000,1000
many_isl&immi&mig&clado_g&K_inf,0.001,0.1,0,0,0,0.2,0,0,1000000000,5,10,1000,1000
many_isl&immi&mig&higher_clado_g&K_inf,0.001,0.1,0,0,0,0.6,0,0,1000000000,5,10,1000,1000
many_isl&immi&mig&high_clado_g&K_inf,0.001,0.1,0,0,0,2,0,0,1000000000,5,10,1000,1000
many_isl&immi&high_mig&clado_g&K_inf,0.001,1,0,0,0,0.2,0,0,1000000000,5,10,1000,1000
many_isl&immi&high_mig&high_clado_g&K_inf,0.001,1,0,0,0,2,0,0,1000000000,5,10,1000,1000
many_isl&immi&mig&ext_g&K_inf,0.001,0.1,0,0,0,0,0,0.1,1000000000,5,10,1000,1000
many_isl&immi&mig&higher_ext_g&K_inf,0.001,0.1,0,0,0,0,0,0.3,1000000000,5,10,1000,1000
many_isl&immi&mig&high_ext_g&K_inf,0.001,0.1,0,0,0,0,0,1,1000000000,5,10,1000,1000
many_isl&immi&high_mig&ext_g&K_inf,0.001,1,0,0,0,0,0,0.1,1000000000,5,10,1000,1000
many_isl&immi&high_mig&high_ext_g&K_inf,0.001,1,0,0,0,0,0,1,1000000000,5,10,1000,1000
