name,immi,mig,clado_loc,ana_loc,ext_loc,clado_glo,ana_glo,ext_glo,1_isl_K(CS),n_isl,archi_age,mainland_sp,replicates
high_only_immi&low_main_sp&K_inf,0.1,0,0,0,0,0,0,0,1000000000,2,10,10,1000
many_isl&high_only_immi&low_main_sp&K_inf,0.1,0,0,0,0,0,0,0,1000000000,5,10,10,1000
immi&K_inf,0.001,0,0,0,0,0,0,0,1000000000,2,10,1000,1000
many_isl&immi&K_inf,0.001,0,0,0,0,0,0,0,1000000000,5,10,1000,1000
high_immi&K_inf,0.01,0,0,0,0,0,0,0,1000000000,2,10,1000,1000
many_isl&high_immi&K_inf,0.01,0,0,0,0,0,0,0,1000000000,5,10,1000,1000
veryhigh_immi&K_inf,0.1,0,0,0,0,0,0,0,1000000000,2,10,1000,1000
many_isl&veryhigh_immi&K_inf,0.1,0,0,0,0,0,0,0,1000000000,5,10,1000,1000
immi&ana_l&K_inf,0.001,0,0,0.1,0,0,0,0,1000000000,2,10,1000,1000
many_isl&immi&ana_l&K_inf,0.001,0,0,0.1,0,0,0,0,1000000000,5,10,1000,1000
immi&higher_ana_l&K_inf,0.001,0,0,0.3,0,0,0,0,1000000000,2,10,1000,1000
many_isl&immi&higher_ana_l&K_inf,0.001,0,0,0.3,0,0,0,0,1000000000,5,10,1000,1000
immi&high_ana_l&K_inf,0.001,0,0,1,0,0,0,0,1000000000,2,10,1000,1000
many_isl&immi&high_ana_l&K_inf,0.001,0,0,1,0,0,0,0,1000000000,5,10,1000,1000
immi&veryhigh_ana_l&K_inf,0.001,0,0,10,0,0,0,0,1000000000,2,10,1000,1000
many_isl&immi&veryhigh_ana_l&K_inf,0.001,0,0,10,0,0,0,0,1000000000,5,10,1000,1000
immi&mig&K_inf,0.001,0.1,0,0,0,0,0,0,1000000000,2,10,1000,1000
many_isl&immi&mig&K_inf,0.001,0.1,0,0,0,0,0,0,1000000000,5,10,1000,1000
immi&high_mig&K_inf,0.001,1,0,0,0,0,0,0,1000000000,2,10,1000,1000
many_isl&immi&high_mig&K_inf,0.001,1,0,0,0,0,0,0,1000000000,5,10,1000,1000
immi&veryhigh_mig&K_inf,0.001,10,0,0,0,0,0,0,1000000000,2,10,1000,1000
many_isl&immi&veryhigh_mig&K_inf,0.001,10,0,0,0,0,0,0,1000000000,5,10,1000,1000
immi&extreme_mig&K_inf,0.001,100,0,0,0,0,0,0,1000000000,2,10,1000,1000
many_isl&immi&extreme_mig&K_inf,0.001,100,0,0,0,0,0,0,1000000000,5,10,1000,1000
immi&mig&ana_l&K_inf,0.001,0.1,0,0.1,0,0,0,0,1000000000,2,10,1000,1000
many_isl&immi&mig&ana_l&K_inf,0.001,0.1,0,0.1,0,0,0,0,1000000000,5,10,1000,1000
immi&high_mig&ana_l&K_inf,0.001,1,0,0.1,0,0,0,0,1000000000,2,10,1000,1000
many_isl&immi&high_mig&ana_l&K_inf,0.001,1,0,0.1,0,0,0,0,1000000000,5,10,1000,1000
immi&veryhigh_mig&ana_l&K_inf,0.001,10,0,0.1,0,0,0,0,1000000000,2,10,1000,1000
many_isl&immi&veryhigh_mig&ana_l&K_inf,0.001,10,0,0.1,0,0,0,0,1000000000,5,10,1000,1000
immi&mig&higher_ana_l&K_inf,0.001,0.1,0,0.3,0,0,0,0,1000000000,2,10,1000,1000
many_isl&immi&mig&higher_ana_l&K_inf,0.001,0.1,0,0.3,0,0,0,0,1000000000,5,10,1000,1000
immi&mig&high_ana_l&K_inf,0.001,0.1,0,1,0,0,0,0,1000000000,2,10,1000,1000
many_isl&immi&mig&high_ana_l&K_inf,0.001,0.1,0,1,0,0,0,0,1000000000,5,10,1000,1000
immi&mig&veryhigh_ana_l&K_inf,0.001,0.1,0,10,0,0,0,0,1000000000,2,10,1000,1000
many_isl&immi&mig&veryhigh_ana_l&K_inf,0.001,0.1,0,10,0,0,0,0,1000000000,5,10,1000,1000
immi&ext_l&K_inf,0.001,0,0,0,0.1,0,0,0,1000000000,2,10,1000,1000
immi&higher_ext_l&K_inf,0.001,0,0,0,0.3,0,0,0,1000000000,2,10,1000,1000
immi&high_ext_l&K_inf,0.001,0,0,0,1,0,0,0,1000000000,2,10,1000,1000
immi&veryhigh_ext_l&K_inf,0.001,0,0,0,10,0,0,0,1000000000,2,10,1000,1000
many_isl&immi&ext_l&K_inf,0.001,0,0,0,0.1,0,0,0,1000000000,5,10,1000,1000
many_isl&immi&higher_ext_l&K_inf,0.001,0,0,0,0.3,0,0,0,1000000000,5,10,1000,1000
many_isl&immi&high_ext_l&K_inf,0.001,0,0,0,1,0,0,0,1000000000,5,10,1000,1000
many_isl&immi&veryhigh_ext_l&K_inf,0.001,0,0,0,10,0,0,0,1000000000,5,10,1000,1000
immi&low_clado_l&K_inf,0.001,0,0.02,0,0,0,0,0,1000000000,2,10,1000,1000
immi&clado_l&K_inf,0.001,0,0.2,0,0,0,0,0,1000000000,2,10,1000,1000
immi&higher_clado_l&K_inf,0.001,0,0.6,0,0,0,0,0,1000000000,2,10,1000,1000
many_isl&immi&low_clado_l&K_inf,0.001,0,0.02,0,0,0,0,0,1000000000,5,10,1000,1000
many_isl&immi&clado_l&K_inf,0.001,0,0.2,0,0,0,0,0,1000000000,5,10,1000,1000
many_isl&immi&higher_clado_l&K_inf,0.001,0,0.6,0,0,0,0,0,1000000000,5,10,1000,1000
immi&mig&ext_l&K_inf,0.001,0.1,0,0,0.1,0,0,0,1000000000,2,10,1000,1000
immi&mig&high_ext_l&K_inf,0.001,0.1,0,0,1,0,0,0,1000000000,2,10,1000,1000
immi&high_mig&ext_l&K_inf,0.001,1,0,0,0.1,0,0,0,1000000000,2,10,1000,1000
immi&high_mig&high_ext_l&K_inf,0.001,1,0,0,1,0,0,0,1000000000,2,10,1000,1000
many_isl&immi&mig&ext_l&K_inf,0.001,0.1,0,0,0.1,0,0,0,1000000000,5,10,1000,1000
many_isl&immi&mig&high_ext_l&K_inf,0.001,0.1,0,0,1,0,0,0,1000000000,5,10,1000,1000
many_isl&immi&high_mig&ext_l&K_inf,0.001,1,0,0,0.1,0,0,0,1000000000,5,10,1000,1000
many_isl&immi&high_mig&high_ext_l&K_inf,0.001,1,0,0,1,0,0,0,1000000000,5,10,1000,1000
immi&mig&clado_l&K_inf,0.001,0.1,0.2,0,0,0,0,0,1000000000,2,10,1000,1000
immi&mig&higher_clado_l&K_inf,0.001,0.1,0.6,0,0,0,0,0,1000000000,2,10,1000,1000
immi&higher_mig&clado_l&K_inf,0.001,0.3,0.2,0,0,0,0,0,1000000000,2,10,1000,1000
many_isl&immi&mig&clado_l&K_inf,0.001,0.1,0.2,0,0,0,0,0,1000000000,5,10,1000,1000
many_isl&immi&mig&higher_clado_l&K_inf,0.001,0.1,0.6,0,0,0,0,0,1000000000,5,10,1000,1000
many_isl&immi&higher_mig&clado_l&K_inf,0.001,0.3,0.2,0,0,0,0,0,1000000000,5,10,1000,1000
