name,immi,mig,clado_loc,ana_loc,ext_loc,clado_glo,ana_glo,ext_glo,1_isl_K(CS),n_isl,archi_age,mainland_sp,replicates
only_immi&K_inf,0.001,0,0,0,0,0,0,0,1000000000,2,10,1000,1000
many_isl&only_immi&K_inf,0.001,0,0,0,0,0,0,0,1000000000,5,10,1000,1000
only_immi&ana_l&K_inf,0.001,0,0,0.1,0,0,0,0,1000000000,2,10,1000,1000
many_isl&only_immi&ana_l&K_inf,0.001,0,0,0.1,0,0,0,0,1000000000,5,10,1000,1000
only_immi&higher_ana_l&K_inf,0.001,0,0,0.3,0,0,0,0,1000000000,2,10,1000,1000
many_isl&only_immi&higher_ana_l&K_inf,0.001,0,0,0.3,0,0,0,0,1000000000,5,10,1000,1000
only_immi&high_ana_l&K_inf,0.001,0,0,1,0,0,0,0,1000000000,2,10,1000,1000
many_isl&only_immi&high_ana_l&K_inf,0.001,0,0,1,0,0,0,0,1000000000,5,10,1000,1000
only_immi&extreme_ana_l&K_inf,0.001,0,0,100,0,0,0,0,1000000000,2,10,1000,1000
many_isl&only_immi&extreme_ana_l&K_inf,0.001,0,0,100,0,0,0,0,1000000000,5,10,1000,1000
high_only_immi&low_main_sp&K_inf,0.1,0,0,0,0,0,0,0,1000000000,2,10,10,1000
many_isl&high_only_immi&low_main_sp&K_inf,0.1,0,0,0,0,0,0,0,1000000000,5,10,10,1000
