name,immi,mig,clado_loc,ana_loc,ext_loc,clado_glo,ana_glo,ext_glo,1_isl_K(CS),n_isl,archi_age,mainland_sp,replicates
standard,0.001,0.1,0.2,0.1,0.1,0.2,0.1,0.1,10,2,10,1000,1000
low_mig,0.001,0.01,0.2,0.1,0.1,0.2,0.1,0.1,10,2,10,1000,1000
high_mig,0.001,1,0.2,0.1,0.1,0.2,0.1,0.1,10,2,10,1000,1000
extreme_mig,0.001,100,0.2,0.1,0.1,0.2,0.1,0.1,10,2,10,1000,1000
low_mig&high_ana_l,0.001,0.01,0.2,0.5,0.1,0.2,0.1,0.1,10,2,10,1000,1000
high_mig&high_ana_l,0.001,1,0.2,0.5,0.1,0.2,0.1,0.1,10,2,10,1000,1000
extreme_mig&high_ana_l,0.001,100,0.2,0.5,0.1,0.2,0.1,0.1,10,2,10,1000,1000
only_local,0.001,0.1,0.2,0.1,0.1,0,0,0,10,2,10,1000,1000
only_global,0.001,0.1,0,0,0,0.2,0.1,0.1,10,2,10,1000,1000
low_clado_l,0.001,0.1,0.1,0.1,0.1,0.2,0.1,0.1,10,2,10,1000,1000
high_clado_l,0.001,0.1,0.4,0.1,0.1,0.2,0.1,0.1,10,2,10,1000,1000
low_clado_g,0.001,0.1,0.2,0.1,0.1,0.1,0.1,0.1,10,2,10,1000,1000
high_clado_g,0.001,0.1,0.2,0.1,0.1,0.4,0.1,0.1,10,2,10,1000,1000
low_ext_l,0.001,0.1,0.2,0.1,0.05,0.2,0.1,0.1,10,2,10,1000,1000
high_ext_l,0.001,0.1,0.2,0.1,0.2,0.2,0.1,0.1,10,2,10,1000,1000
low_ext_g,0.001,0.1,0.2,0.1,0.1,0.2,0.1,0.05,10,2,10,1000,1000
high_ext_g,0.001,0.1,0.2,0.1,0.1,0.2,0.1,0.2,10,2,10,1000,1000
low_clado_l&high_ext_l,0.001,0.1,0.1,0.1,0.2,0.2,0.1,0.1,10,2,10,1000,1000
low_clado_g&high_ext_g,0.001,0.1,0.2,0.1,0.1,0.1,0.1,0.2,10,2,10,1000,1000
low_clado_l&_g&high_ext_l&_g,0.001,0.1,0.1,0.1,0.2,0.1,0.1,0.2,10,2,10,1000,1000
many_isl&standard,0.001,0.1,0.2,0.1,0.1,0.2,0.1,0.1,10,5,10,1000,1000
many_isl&low_mig,0.001,0.01,0.2,0.1,0.1,0.2,0.1,0.1,10,5,10,1000,1000
many_isl&high_mig,0.001,1,0.2,0.1,0.1,0.2,0.1,0.1,10,5,10,1000,1000
many_isl&extreme_mig,0.001,100,0.2,0.1,0.1,0.2,0.1,0.1,10,5,10,1000,1000
many_isl&low_mig&high_ana_l,0.001,0.01,0.2,0.5,0.1,0.2,0.1,0.1,10,5,10,1000,1000
many_isl&high_mig&high_ana_l,0.001,1,0.2,0.5,0.1,0.2,0.1,0.1,10,5,10,1000,1000
many_isl&extreme_mig&high_ana_l,0.001,100,0.2,0.5,0.1,0.2,0.1,0.1,10,5,10,1000,1000
many_isl&only_local,0.001,0.1,0.2,0.1,0.1,0,0,0,10,5,10,1000,1000
many_isl&only_global,0.001,0.1,0,0,0,0.2,0.1,0.1,10,5,10,1000,1000
many_isl&low_clado_l,0.001,0.1,0.1,0.1,0.1,0.2,0.1,0.1,10,5,10,1000,1000
many_isl&high_clado_l,0.001,0.1,0.4,0.1,0.1,0.2,0.1,0.1,10,5,10,1000,1000
